synthetic_transaction_id,synthetic_user_id,synthetic_account_id,timestamp,amount,currency,synthetic_merchant_id,merchant_category,transaction_channel,transaction_state,scenario_label,scenario_id,is_synthetic_scenario,label_source,label_definition,dataset_type,synthetic,source_system,dataset_version,transaction_hour,day_of_week,user_historical_transaction_count_before,user_historical_average_amount_before,time_since_previous_transaction_seconds,user_historical_category_frequency_before,dataset_split,scenario_injection_reason,generator_rule
syn-transaction-000001,syn-user-0425,syn-account-0425,2024-01-01T00:07:54Z,991.94,INR,syn-merchant-0067,home,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000001,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000002,syn-user-0084,syn-account-0084,2024-01-01T00:26:53Z,216.10,INR,syn-merchant-0012,travel,CARD_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000002,True,generator_rule,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",Vary time relative to the user's typical hour; do not use one globally exclusive UTC-hour window.
syn-transaction-000003,syn-user-0079,syn-account-0079,2024-01-01T00:27:02Z,279.38,INR,syn-merchant-0090,healthcare,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000003,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000004,syn-user-0176,syn-account-0176,2024-01-01T00:31:47Z,2188.05,INR,syn-merchant-0029,grocery,QR_SIMULATED,COMPLETED,normal,syn-scenario-000004,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000005,syn-user-0401,syn-account-0401,2024-01-01T00:33:59Z,1597.14,INR,syn-merchant-0081,shopping,WALLET_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000005,True,generator_rule,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",Vary time relative to the user's typical hour; do not use one globally exclusive UTC-hour window.
syn-transaction-000006,syn-user-0262,syn-account-0262,2024-01-01T00:39:52Z,581.79,INR,syn-merchant-0052,food,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000006,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,0,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000007,syn-user-0124,syn-account-0124,2024-01-01T01:03:15Z,1412.40,INR,syn-merchant-0040,food,QR_SIMULATED,COMPLETED,synthetic_unusual_time,syn-scenario-000007,True,generator_rule,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",synthetic_research,True,SpendShield synthetic generator,v2,1,0,0,0.00,,0.0,train,"A transaction with a user-relative time deviation across late, borderline, and ordinary clock hours.",Vary time relative to the user's typical hour; do not use one globally exclusive UTC-hour window.
syn-transaction-000008,syn-user-0287,syn-account-0287,2024-01-01T01:25:31Z,869.02,INR,syn-merchant-0040,food,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000008,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,1,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000009,syn-user-0140,syn-account-0140,2024-01-01T01:40:20Z,642.71,INR,syn-merchant-0009,shopping,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000009,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,1,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000010,syn-user-0273,syn-account-0273,2024-01-01T01:53:53Z,944.44,INR,syn-merchant-0065,grocery,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000010,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,1,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000011,syn-user-0039,syn-account-0039,2024-01-01T02:28:30Z,1340.45,INR,syn-merchant-0032,other,QR_SIMULATED,COMPLETED,normal,syn-scenario-000011,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,2,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000012,syn-user-0228,syn-account-0228,2024-01-01T02:29:44Z,472.56,INR,syn-merchant-0006,healthcare,QR_SIMULATED,COMPLETED,normal,syn-scenario-000012,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,2,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000013,syn-user-0425,syn-account-0425,2024-01-01T02:31:42Z,1792.17,INR,syn-merchant-0079,home,BANK_SIMULATED,COMPLETED,synthetic_behavior_deviation,syn-scenario-000013,True,generator_rule,"A transaction with one or more moderate changes from synthetic user category, merchant, channel, amount, frequency, or time behavior.",synthetic_research,True,SpendShield synthetic generator,v2,2,0,1,991.94,8628,1.0,train,"A transaction with one or more moderate changes from synthetic user category, merchant, channel, amount, frequency, or time behavior.",Select a varied subset of user-relative behavior changes without exposing the scenario label as a feature.
syn-transaction-000014,syn-user-0493,syn-account-0493,2024-01-01T02:43:07Z,362.88,INR,syn-merchant-0067,home,QR_SIMULATED,COMPLETED,normal,syn-scenario-000014,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,2,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000015,syn-user-0228,syn-account-0228,2024-01-01T02:44:19Z,559.34,INR,syn-merchant-0006,grocery,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000015,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,2,0,1,472.56,875,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000016,syn-user-0056,syn-account-0056,2024-01-01T02:57:06Z,606.45,INR,syn-merchant-0014,education,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000016,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,2,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000017,syn-user-0463,syn-account-0463,2024-01-01T03:11:09Z,161.53,INR,syn-merchant-0021,shopping,WALLET_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000017,True,generator_rule,"A transaction with a controlled, variable increase relative to synthetic user behavior.",synthetic_research,True,SpendShield synthetic generator,v2,3,0,0,0.00,,0.0,train,"A transaction with a controlled, variable increase relative to synthetic user behavior.","Apply a mixture of moderate, strong, user-relative, and category-compatible amount deviations."
syn-transaction-000018,syn-user-0387,syn-account-0387,2024-01-01T03:13:32Z,1036.11,INR,syn-merchant-0002,education,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000018,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,3,0,0,0.00,,0.0,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
syn-transaction-000019,syn-user-0228,syn-account-0228,2024-01-01T03:14:47Z,667.84,INR,syn-merchant-0006,grocery,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000019,True,generator_rule,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,synthetic_research,True,SpendShield synthetic generator,v2,3,0,2,515.95,1828,0.5,train,A generated transaction drawn from ordinary synthetic user behavior with natural variation.,"Sample user-relative category, amount, time, merchant, channel, and transaction-gap behavior with overlap."
