synthetic_transaction_id,anomaly_score,transparent_baseline_score,rank,anomaly_rank_percentile,signal_strengths,signal_feature_names,explanation_text,missing_history_warning,synthetic_scenario_label,synthetic_label_notice
syn-transaction-009080,0.877492,0.583333,1,100.0,"{""amount_deviation"": ""strong"", ""novelty"": ""strong"", ""time_deviation"": ""moderate""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 4.17x the user's prior observed average (979.08 to 4083.39); this is a strong amount-deviation signal. The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The transaction hour differs from the user's prior observed timing by 2.50 circular hours; this is a moderate time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-008917,0.74864,0.5,2,99.9165,"{""amount_deviation"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 7.74x the user's prior observed average (1165.84 to 9025.90); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 6.76 circular hours; this is a strong time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009810,0.730398,0.5,3,99.8331,"{""amount_deviation"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 4.41x the user's prior observed average (1279.34 to 5641.59); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 8.11 circular hours; this is a strong time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_behavior_deviation,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009530,0.708952,0.6,4,99.7496,"{""amount_deviation"": ""strong"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 4.69x the user's prior observed average (1376.69 to 6463.57); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 6.33 circular hours; this is a strong time-deviation signal. The user's observed merchant history is new at this row; this is a moderate novelty signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009230,0.700307,0.485029,5,99.6661,"{""amount_deviation"": ""strong"", ""novelty"": ""strong"", ""time_deviation"": ""weak""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The amount is 2.75x the user's prior observed average (1254.72 to 3444.55); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 0.28 circular hours; this is a weak time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_combined_pattern,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009980,0.699192,0.621415,6,99.5826,"{""amount_deviation"": ""moderate"", ""novelty"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The user's observed merchant and channel history is new at this row; this is a strong novelty signal. The transaction hour differs from the user's prior observed timing by 10.47 circular hours; this is a strong time-deviation signal. The amount is 2.25x the user's prior observed average (1336.24 to 3006.24); this is a moderate amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009396,0.687053,0.640351,7,99.4992,"{""amount_deviation"": ""strong"", ""novelty"": ""moderate"", ""rapid_repeat"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""time_since_previous_transaction_seconds"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation""]",Research explanation: The amount is 6.73x the user's prior observed average (1389.50 to 9351.25); this is a strong amount-deviation signal. The transaction followed the previous observed transaction after 287 seconds; this is a strong rapid-repeat signal under the fixed 600-second research rule. The user's observed merchant history is new at this row; this is a moderate novelty signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,synthetic_high_amount,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-009288,0.676601,0.45,8,99.4157,"{""amount_deviation"": ""strong"", ""time_deviation"": ""strong""}","[""amount"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 5.07x the user's prior observed average (1026.77 to 5210.32); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 4.50 circular hours; this is a strong time-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,normal,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-008940,0.674774,0.6,9,99.3322,"{""amount_deviation"": ""strong"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The amount is 4.40x the user's prior observed average (1235.72 to 5431.42); this is a strong amount-deviation signal. The transaction hour differs from the user's prior observed timing by 8.53 circular hours; this is a strong time-deviation signal. The user's observed merchant history is new at this row; this is a moderate novelty signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,normal,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-008966,0.642145,0.375004,10,99.2487,"{""amount_deviation"": ""weak"", ""novelty"": ""moderate"", ""time_deviation"": ""strong""}","[""amount"", ""channel_novelty_before"", ""merchant_novelty_before"", ""transaction_hour"", ""user_historical_average_amount_before"", ""user_relative_amount_deviation"", ""user_relative_time_deviation""]",Research explanation: The transaction hour differs from the user's prior observed timing by 10.00 circular hours; this is a strong time-deviation signal. The user's observed channel history is new at this row; this is a moderate novelty signal. The amount is 1.32x the user's prior observed average (334.04 to 439.63); this is a weak amount-deviation signal. Multiple observed signals occurred together and jointly raised the research anomaly score.,False,normal,Offline synthetic scenario reference only; not real-world ground truth.
